name,generated_description
squarrose sedge,"This rush or sedge typically reaches heights between 1.5 and 2 feet and features green stems and leaves. It thrives in both full sunlight and partial shade, requiring frequent watering to maintain optimal growth. The minimal maintenance needed makes it suitable for various planting situations, and it produces seeds for reproduction. Adaptability to wet conditions enables it to occupy a range of environments."
tussock sedge,"This plant is a type of rush or sedge that typically grows between 1 to 3 feet in height. Its leaves, stem, and stalk are green, contributing to its overall visual consistency. It requires frequent watering and thrives in both full sun and part shade conditions, demonstrating low maintenance needs. The plant produces seeds, allowing for natural propagation."
sedge,"This plant is a perennial herbaceous species categorized as a rush or sedge, typically reaching heights of 1 to 3 feet. It features green stems and thrives in environments with frequent watering, preferring full sun to part shade conditions. Its low maintenance requirements make it suitable for a variety of landscapes, and it produces true seeds for reproduction."
Berkeley sedge,"This grass-like plant typically reaches heights between 1 and 2 feet and is characterized by its tufted growth form. It thrives in both full sunlight and partial shade, requiring frequent watering to maintain optimal growth. Low maintenance makes it suitable for a variety of environments, where it can contribute to natural landscaping without the need for extensive care."
fox sedge,"This plant is a clump-forming perennial characterized by its slender, green leaves that grow to a height of 1 to 3 feet. It thrives in full sunlight and requires frequent watering, making it suitable for wetter environments. The plant produces seeds as part of its reproductive cycle, and it is recognized for its low maintenance requirements."
bush anemone,"This broadleaf evergreen typically reaches heights of 4 to 6 feet and is characterized by its glossy green foliage. It thrives in both full sun and partial shade and requires minimal watering, making it suitable for low-maintenance landscapes. The plant does not produce seeds, focusing instead on its dense, lush appearance."
papaya,"This broadleaf evergreen typically reaches heights between 6 and 20 feet. It requires average watering and thrives in full sun conditions. The plant features green stalks and leaves, along with purple flowers, while its bark exhibits beige to gray-green colors. Fruits of the plant transition in color from green to orange-green and yellow-orange-green as they mature, and it is capable of producing true seeds. Maintenance needs are moderate."
American hornbeam,"This deciduous tree typically reaches heights between 20 to 35 feet and is characterized by its ability to thrive in partial shade to full shade environments. It requires average watering and can grow well in clay and loam soils. The tree features true seeds and is noted for its low maintenance needs, making it suitable for various landscaping applications."
hornbeam,"This tree typically reaches a height of 20 to 30 feet and thrives in part shade to full shade environments. It requires average watering and is characterized by low maintenance needs, making it suitable for various landscape settings. It does not produce seeds and demonstrates resilience in various conditions, contributing to its utility in gardens and parks."
papaya,"This fruit-bearing plant typically reaches a height of 6 to 8 feet and thrives in full sunlight. It has green leaves and stems, while its trunk is beige in color. The fruits vary in color, ranging from green to bright green and orange, and produce true seeds. Maintenance requirements are moderate, and the plant needs an average amount of watering for optimal growth."
common hornbeam,"This tree typically grows to a height of 6 to 8 feet and exhibits a slender, columnar form. Its leaves are dark green, while the stalk is green, providing a uniform appearance. The plant thrives in full sun to partial shade and requires average watering, ensuring low maintenance in suitable soil conditions. It does not produce seeds, making it a viable option for specific landscaping needs."
hardy pecan,"This tree typically reaches heights between 75 and 100 feet and prefers full sun exposure for optimal growth. It features green leaves and produces brown-green nuts, with light-maroon kernels contained within. The tree requires average watering and has a moderate maintenance level, making it manageable in various garden settings."
shellbark hickory,"This tree typically reaches heights between 60 and 80 feet, featuring green leaves and green stalks. It thrives with frequent watering and prefers full sun to part shade conditions. The tree requires low maintenance, can grow in sandy loamy clay soil, and produces seeds."
pignut,"This tree typically reaches heights between 50 and 80 feet and exhibits a low maintenance requirement. Its leaves are predominantly green, with some displaying an army-green hue, while its branches and stems are brown, and the stalks are green. It thrives in clay and loam soils, requiring an average amount of water, and can grow successfully in full sun or partial shade. The tree produces yellow-green nuts that are encased in hard shells."
oriental hornbeam,"This tree typically reaches heights between 15 and 25 feet and thrives in part shade to full shade conditions. It requires average watering and demonstrates low maintenance requirements throughout its life cycle. The tree is known for its durability, making it suitable for various landscapes. It does not produce seeds, which may influence its use in specific planting scenarios."
bitternut hickory,"This deciduous tree typically reaches heights between 50 and 80 feet and features brown branches and stems. It produces green foliage and leaves, with nuts that transition in color from green to brown-green. Preferring loamy rocky soils, it thrives in full sun to partial shade and requires frequent watering, yet demands low maintenance overall. The tree is capable of producing true seeds."
hardy pecan,"This tree typically reaches heights between 40 and 60 feet and features green leaves, green foliage, and branches that can be green or brown in color. It requires average watering and thrives in full sun, making it a suitable choice for well-lit landscapes. The tree produces green nuts and maintains a moderate level of maintenance, contributing to its utility in various environments."
hickory,This tree typically reaches heights between 40 and 60 feet and features large leaves that display a green to orange color range. It requires average watering and can thrive in full sun to partial shade environments. The plant exhibits low maintenance needs and produces seeds that contribute to its reproductive cycle. The stalks are characterized by a yellow hue.
shagbark hickory,"This tree typically reaches heights between 70 and 90 feet, favoring full sun exposure for optimal growth. It thrives in sandy loamy clay soils and requires average watering, making it suitable for low-maintenance landscapes. The absence of seeds contributes to its utility without the concerns of seed dispersion."
bluebeard,"This deciduous shrub typically reaches heights of 2 to 3 feet and thrives in full sun conditions. It requires average watering and is characterized by low maintenance, making it suitable for a variety of landscapes. Flowering occurs from mid-summer to fall, contributing to its appeal for attracting pollinators."
bluebeard,"This deciduous shrub typically reaches heights of 1.5 to 2 feet. It thrives in full sun conditions and requires average watering, making it relatively easy to care for. The plant does not produce seeds and is known for its low maintenance requirements, contributing to its practicality in garden settings."
mockernut,"This tree typically reaches heights between 60 and 80 feet, featuring a low-maintenance profile. It has a green stalk and brown branches and trunk, complemented by green-yellow leaves. It thrives in sandy to loamy soils under full sun conditions and requires average watering, producing true seeds as part of its reproductive cycle."
bluebeard,"This deciduous shrub typically reaches heights of 2 to 3 feet and thrives in full sun. Its green stems support green foliage and produce blue-violet flowers during the growing season, with blue buds appearing beforehand. The plant requires average watering and has low maintenance needs, making it suitable for various landscape settings."
bluebeard,"This deciduous shrub typically grows to heights between 2 and 3 feet and features green leaves that provide a dense foliage backdrop. It produces clusters of purple-blue and light-blue flowers, notable for attracting pollinators. The stems are characterized by a maroon-green hue, while the fronds exhibit a grey-green color. This plant prefers full sun conditions and requires frequent watering, but it is generally low-maintenance, making it suitable for various garden settings."
bluebeard,"This deciduous shrub typically grows to a height of 2 to 3 feet and thrives in full sun conditions. It features gray-green leaves, maroon-green stalks, and distinctive blue buds with dark-blue anthers. Requiring average watering, this plant is characterized by its low maintenance needs and does not produce seeds."
bluebeard,"This deciduous shrub typically reaches heights between 2 to 3 feet. It thrives in full sun and requires average watering, making it suitable for low-maintenance landscapes. The plant does not produce seeds and is characterized by its woody stems and attractive foliage."
bluebeard,"This deciduous shrub typically reaches a height of 2 to 4 feet and thrives in full sun conditions. It requires average watering and is characterized by low maintenance needs. The plant does not produce seeds, making it suitable for specific landscape applications."
bluebeard,"This deciduous shrub typically grows to heights between 1.5 to 2.5 feet. It thrives in full sun and requires average watering, displaying low maintenance needs. Its foliage consists of green leaves and a maroon stem, while it produces light-blue buds that develop into blue flowers with blue anthers. The overall structure showcases a mounding form, suitable for various landscaping applications."
bluebeard,"This deciduous shrub typically reaches heights of 2 to 2.5 feet and features deep purple-blue petals during its flowering period, which extends from summer to fall. The leaves are green, and the stems have a distinct maroon coloration. It thrives in full sun conditions and requires average watering, making it a low-maintenance option for various garden settings. The plant does not produce seeds."
bluebeard,"This deciduous shrub typically reaches heights of 2 to 2.5 feet and thrives in full sun conditions. It requires average watering and is characterized by low maintenance needs. The plant does not produce seeds and can tolerate a range of soil types, making it adaptable to various garden environments."
wishing tree,"This broadleaf evergreen typically reaches heights of 20 to 30 feet and features prominent creamy-white to pink flowers that bloom among green foliage. The plant thrives in full sun and requires average watering, making it suitable for a variety of garden settings. It exhibits low maintenance needs and does not produce seeds. The branching structure is characterized by brown stems and branches, while the floral components include yellow stamens and pink buds."
bluebeard,This deciduous shrub typically reaches heights of 2 to 3 feet and thrives in full sun conditions. It requires average watering and is characterized by low maintenance needs. The plant does not produce seeds and can serve as a vibrant addition to gardens through its notable foliage and flowering habits.
pink shower,"This tree typically grows to heights between 40 and 60 feet and is characterized by its pink flowers that appear in clusters. It features green foliage, with brown to dark brown stems and branches, and gray bark. Requiring average watering and full sun exposure, it exhibits low maintenance needs and produces true seeds, making it adaptable to various landscape settings."
bluebeard,This deciduous shrub typically reaches a height of 2 to 2.5 feet and thrives in full sun conditions. It requires average watering and is characterized by its low maintenance needs. The plant does not produce seeds and is often appreciated for its ability to enhance garden aesthetics with minimal effort.
pink shower,"This tree typically reaches heights ranging from 30 to 50 feet, thriving in full sun conditions. It requires average watering and has a moderate maintenance level. The tree does not produce seeds, making it a suitable choice for landscapes where seed dispersal is a concern. Its dense canopy can provide habitat for various wildlife, adding ecological value to the surrounding area."
Japanese chestnut,"This tree typically reaches heights between 30 to 40 feet and features average watering requirements. Its foliage is characterized by a green-yellow color, while the stems exhibit a dark-brown hue, and the seeds are brown in appearance. It thrives in full sun and requires high maintenance to ensure optimal growth and health."
cassiope,"This broadleaf evergreen plant typically reaches a height of 0.5 to 0.75 feet and features green leaves alongside gray stems. It produces flowers that can be white or white-pink in color, blooming throughout its growing season. Preferring full sun to partial shade, this plant requires frequent watering and is characterized by low maintenance needs. It does not produce seeds, making it suitable for specific landscaping applications."
Ozark chinquapin,This tree typically reaches heights between 40 to 60 feet and thrives in full sun conditions. It requires average watering and is considered to have high maintenance needs due to its specific care requirements. The tree produces seeds and is adapted to areas with varying soil types.
American chestnut,"This tree typically reaches heights between 50 to 75 feet and thrives in well-drained sandy soils. It requires full sun exposure and has a high maintenance need, making it best suited for experienced gardeners. The leaves are green, while the stem and branches are brown, and the stalks exhibit a maroon hue. The tree produces green fruits but does not produce seeds. Watering should be maintained at an average level to support its growth."
Chinese catalpa,"This tree typically grows to a height of 20 to 30 feet and requires frequent watering for optimal health. The plant features creamy-green flowers and green buds, while its leaves are a consistent green color. Its branches exhibit a maroon-green hue, and it thrives in conditions of full sun to partial shade. Maintenance is moderate, and it produces true seeds."
Indian paintbrush,"This flowering plant typically reaches heights between 0.75 and 1.5 feet. It features orange-red petals, green stems, and green leaves, thriving in sandy loamy soil with moderate watering needs. It prefers full sun exposure and requires moderate maintenance, producing seeds as part of its reproductive cycle."
cupid's dart,"This herb typically reaches a height of 1 to 2 feet and thrives in full sunlight. It features green stalks and leaves, with flowers that present a blue color, complemented by violet-blue petals and dark-purple stamens. The plant requires average watering and is characterized by low maintenance needs. It does not produce seeds, making reproduction through other means necessary."
orchid,This orchid typically reaches heights between 0.25 and 2 feet and thrives in part sun to part shade conditions. It requires average watering and has a moderate maintenance level. This plant does not produce seeds and features distinct flowers that are often colorful and intricate.
cautleya,"This herb typically grows to a height of 1 to 2.5 feet and thrives in part shade environments. It requires frequent watering to maintain optimal moisture levels and has a moderate maintenance requirement. The plant does not produce seeds, and specific soil preferences are not identified."
cautleya,"This herb typically reaches a height of 1.5 to 1.75 feet and thrives in part shade conditions. It requires average amounts of water and has a moderate maintenance level. The plant does not produce seeds and is suited for environments with specific soil conditions, although these are not detailed here."
California lilac,"This broadleaf evergreen typically grows to heights between 4 and 8 feet. It thrives in full sun conditions and has a moderate maintenance requirement. The plant features green stems and leaves, while its blue flowers appear in the spring. It is drought-tolerant, necessitating minimal watering, and does not produce seeds."
Madagascar periwinkle,"This herb typically reaches heights between 0.5 and 1.5 feet and has a low maintenance requirement, making it suitable for various gardening situations. It thrives in full sun to part shade and requires average watering. The green foliage and stems support blooms that exhibit soft shades of pink and white, while the anthers are distinctly pink, contributing to its overall decorative appeal."
cavanillesia,"This tree can reach heights between 40 and 150 feet and is characterized by its moderate maintenance requirements. Its leaves are green, while its stem, trunk, and bark exhibit a gray coloration. Preferring full sun and requiring average watering, this tree does not produce seeds and can thrive in a variety of soil conditions."
California lilac,"This deciduous shrub typically reaches heights between 3 to 5 feet and showcases light blue to blue-white flowers. It has brown stems and gray branches, complemented by green leaves and yellow stamens. The plant thrives in full sun to partial shade and requires average watering, necessitating moderate maintenance. It does not produce seeds and prefers well-drained soil conditions."
inland New Jersey tea,"This deciduous shrub typically reaches heights between 2 and 3 feet. It thrives in full sun and requires minimal watering, making it suitable for low-maintenance gardens. The plant features green leaves and brown to green stems, and it produces white flowers. It prefers sandy or loamy soil and does not produce seeds."
New Jersey tea,"This deciduous shrub typically reaches heights of 3 to 4 feet and prefers sandy, loamy, or rocky soils. It produces small white flowers and has green leaves and stalks, thriving in full sun to partial shade conditions. The plant requires minimal watering and is characterized by low maintenance needs, while also capable of producing seeds."
California lilac,"This deciduous shrub typically grows to a height of 3 to 5 feet. It is adapted to full sun conditions and requires minimal watering, making it suitable for dry landscapes. The plant exhibits low maintenance needs, and does not produce seeds."
blue mountain lilac,"This broadleaf evergreen typically reaches a height of 4 to 5 feet. It thrives in full sun to part shade and has a low water requirement, making it suitable for drier conditions. The plant is characterized by its low maintenance needs and does not produce seeds. It can serve as an effective element in landscape designs due to its enduring foliage and overall resilience."
California lilac,"This deciduous shrub typically grows to a height of 2 to 3 feet and thrives in full sun conditions. It has low water requirements, making it suitable for regions with limited moisture. The plant features light-blue flowers and brown stems, while its reproductive parts include white anthers. It is characterized by low maintenance needs and does not produce seeds."
California lilac,"This deciduous shrub typically grows to a height of 2 to 4 feet and thrives in full sun to partial shade. It requires minimal watering, exhibiting drought tolerance and low maintenance needs. The shrub can be utilized in various landscape settings and adapts well to hot and dry climates."
blue atlas cedar,"This needled evergreen typically grows between 3 and 12 feet in height and features leaves that exhibit a green-blue hue. The stems are brown, and the plant requires average watering while thriving in full sun conditions. Maintenance needs are moderate, and it does not produce seeds."
blue atlas cedar,"This needled evergreen typically reaches heights between 40 to 60 feet and requires average watering to thrive. It features green fronds and brown bark, providing a distinctive visual contrast. The plant prefers full sun exposure and has a moderate maintenance requirement, making it suitable for a variety of landscape settings. It does not produce seeds and is generally tolerant of diverse soil conditions."
cedar of Lebanon,"This tree grows to a height of 50 feet and thrives in full sun exposure. It prefers average watering and can be found in rocky, gravelly, and dry soil conditions. The species requires moderate maintenance and does not produce seeds."
cedar of Lebanon,"This tree typically reaches a height of 50 feet and thrives in full sunlight. It requires average watering and is well-suited to rocky, gravelly, and dry soil conditions. Maintenance is moderate, and this tree does not produce seeds."
kapoktree,"This tree species typically reaches heights between 75 and 125 feet. It features a gray-brown trunk and bark, with brown branches and green leaves. Preferring full sun, it requires average watering and moderate maintenance while producing true seeds."
cedar of Lebanon,"This tree typically reaches a height of 50 feet and thrives in full sunlight. It requires average watering and can grow in rocky, gravelly, and dry soil conditions. The species exhibits a moderate maintenance level, making it suitable for various landscape settings."
Himalayan cedar,"This needled evergreen typically reaches heights between 40 and 50 feet, characterized by a symmetrical growth habit. It thrives in full sun conditions and requires average watering, supporting moderate maintenance levels. The tree exhibits a distinctive appearance with silvery-green needles and an attractive reddish-brown bark, making it suitable for landscape use. It does not produce seeds, which may be a factor for specific gardening considerations."
feather celosia,"This herb typically reaches a height of 1 to 1.5 feet and thrives in full sun environments. It features leaves that exhibit a color gradient of pink-green and green, alongside red veins. The plant produces clusters of red flowers, adding a vibrant element to its appearance, and requires average watering while being low-maintenance. It does not produce seeds."
oriental bittersweet,"This vine typically grows to a length ranging from 30 to 60 feet and exhibits average watering requirements. It features brown to gray-brown branches, yellow-green leaves, and produces orange-red berries and fruits. The plant thrives in sunlight or partial shade and can adapt to various soil types, including clay, sand, and loam, but requires high maintenance due to its aggressive growth characteristics."
cockscomb,"This flowering plant typically reaches heights between 0.75 and 3 feet and thrives in full sun conditions. It requires average watering and is characterized by its low maintenance needs. The plant does not produce seeds and adapts well to various environmental conditions, making it suitable for borders and decorative arrangements."
feather celosia,"This herb typically grows to a height of 2 to 2.5 feet and thrives in full sun conditions. It features green fronds and stems, while its blooms are characterized by a yellow color. The plant requires average watering and has low maintenance needs, making it suitable for a variety of garden settings. It does not produce seeds."
sugarberry,"This deciduous tree typically reaches heights between 60 and 80 feet. It thrives in full sun to part shade conditions and requires frequent watering. Known for its low maintenance needs, it produces true seeds and features a wide-spreading root system that can help prevent soil erosion."
Mediterranean hackberry,"This tree typically reaches heights between 40 and 70 feet and is characterized by a broad canopy that provides ample shade. The leaves are leathery and vary in shades of green to dark green, while the trunk features beige coloring and the bark is brown. The tree produces clusters of berries that start as green before maturing to dark purple, and requires average watering, with a preference for full sun exposure. Maintenance needs are low, and it produces true seeds for reproduction."
feather celosia,"This herb typically grows to heights ranging from 0.5 to 3 feet and thrives in full sun conditions. It features pink stems and flowers, complemented by green foliage. The plant requires average watering and is considered low maintenance, making it suitable for various garden settings. It does not produce seeds."
American bittersweet,"This vine can reach a length of 15 to 20 feet and features dark-green foliage with glossy, heart-shaped leaves. It produces berries that are orange and yellow in color, which serve as a food source for birds during the winter months. The plant thrives in sunny to partially shaded conditions and requires average watering, displaying a preference for sandy, loamy, clay, or rocky soils. It is characterized by a low maintenance requirement and has stems that can be brown or gray. This vine is capable of producing true seeds."
weeping Japanese hackberry,"This tree typically reaches heights between 15 and 20 feet and features a cascading growth habit with arching branches. It thrives in full sun to partial shade and requires average watering for optimal growth. This species produces true seeds and has a moderate maintenance level, making it suitable for a variety of landscape applications."
mountain bluet,"This shrub typically grows to heights between 1 and 2 feet. It thrives in well-drained soil and can grow successfully in full sun to part shade conditions, requiring minimal watering. It produces true seeds and is characterized by its low maintenance needs, making it a suitable choice for various garden settings."
hackberry,"This tree typically reaches heights between 40 and 60 feet and is characterized by its green leaves and green-veined structures. It produces green berries and has a gray-brown bark, with stems that may be brown or green in color. The tree thrives in sandy loamy clay rocky soils, requiring frequent watering, and flourishes in full sun to partial shade, with low maintenance needs. It is capable of producing true seeds."
mountain bluet,"This flowering plant typically grows between 1 to 2 feet in height and features green stems and leaves. The flowers exhibit a vibrant purple color, complemented by pink anthers. It requires minimal watering and thrives in well-drained soil with exposure to full sun or part sun/part shade. This species is characterized by low maintenance needs and is capable of producing seeds."
cornflower,"This flowering plant typically reaches heights of 1 to 3 feet and features bright blue flowers, complemented by dark-purple to dark-blue anthers. The foliage, including leaves and stems, is green, and the plant thrives in full sun to part shade conditions. It requires average watering and has low maintenance needs while producing true seeds."
bighead knapweed,"This perennial weed typically grows to a height of 3 to 4 feet and thrives in full sun conditions, requiring minimal watering. It features green foliage and green stems, with brown buds that eventually develop into yellow flowers. The plant is characterized by its low maintenance needs and does not produce seeds."
knapweed,"This weed typically grows to a height of 2 to 2.5 feet and requires average watering. It features green stems and foliage, with flowers that display shades of purple and pink-white, alongside white anthers. The plant flourishes in full sun and thrives in well-drained soil, exhibiting low maintenance requirements and producing seeds for propagation."
perennial cornflower,"This flowering plant typically reaches a height of 1 to 2 feet and features flowers that display blue-purple hues, complemented by purple anthers and stamens. The green stem and stalk support its foliage, which consists of green leaves and leaflets. It thrives in well-drained soil and prefers full sun to partial shade, requiring minimal watering and low maintenance for optimal growth."
red valerian,"This herb typically grows to a height of 1.5 to 3 feet and features dark green stems and petioles, complemented by green leaves. It produces red flowers and requires average watering, thriving in conditions of full sun and part shade. The plant has a moderate maintenance requirement and is capable of producing seeds."
bachelor's button,This herb typically reaches heights of 1 to 1.5 feet and thrives in full sun exposure. It requires average watering and has a moderate maintenance level. The plant does not produce seeds and is suitable for various gardening applications.
red valerian,"This herb typically grows to a height of 1.5 to 3 feet and requires average watering. The plant features white flowers with yellow-green sepals and petioles, supported by green to dark-green stems. Its bottle-green and dark-green leaves provide a lush appearance, and it thrives in both full sun and part shade environments while necessitating moderate maintenance. True seeds are produced, contributing to its reproduction."
red valerian,"This herb typically grows to heights between 1.5 and 3 feet and features green stems and foliage. It produces clusters of flowers that are primarily red or pink-red, and the petals are consistent in color. The plant thrives in environments with full sun to part shade and requires average watering, with moderate maintenance needs. It is capable of producing seeds, contributing to its propagation."
Japanese plum yew,"This needled evergreen typically reaches heights between 5 to 10 feet. It features dark green to green leaves and light green buds, while its branches display a brown hue. The plant requires average watering and can thrive in part shade to full shade conditions, demonstrating moderate maintenance needs. It does not produce seeds and is characterized by its light green to lime-green stems."
giant pincushion flower,"This flowering plant typically reaches heights between 4 to 6 feet and exhibits creamy-white flowers along with a similarly colored center, filaments, and anthers. The stem is characterized by a lime-green hue, contributing to the plant's overall visual contrast. It thrives in full sun conditions and requires average watering, making it suitable for low-maintenance gardens. Additionally, it does not produce seeds."
buttonbush,"This deciduous shrub typically reaches heights between 5 and 12 feet and is characterized by its adaptability to various soil types, including sandy, loamy, clay, humus, and rocky conditions. It prefers environments with partial shade to full shade and requires frequent watering to thrive. Low maintenance is required for this shrub, and it can reproduce from seeds."
Chinese plum yew,"This needled evergreen typically grows to heights between 10 and 15 feet. It features green to dark-green leaves, with midribs that can appear in green or yellow tones, and stems that show yellow-green to light-green coloration. Buds are yellow and the plant prefers part shade to full shade conditions, requiring average watering and moderate maintenance. It does not produce seeds and is adaptable to a variety of soil types."
cow's tail pine,This needled evergreen typically reaches heights between 3 and 6 feet and can thrive in both part shade and full shade conditions. It requires average watering and is characterized by moderate maintenance needs. The plant does not produce seeds and is often utilized in landscape designs for low-growing hedges or as ground cover.
mouse-ear chickweed,"This plant typically reaches heights between 0.5 and 1.5 feet and exhibits low maintenance requirements. It produces white flowers with a yellow center and yellow stamens, supported by green to lime-green stems and green to yellow-green leaves. Preferring sunny environments, it thrives with minimal watering and reproduces through seeds."
Japanese plum yew,"This needled evergreen typically reaches heights between 8 to 10 feet and prefers full sun to part shade for optimal growth. It requires average watering and thrives in well-drained, acidic soils, making it suitable for various garden settings. With moderate maintenance needs, it is characterized by its dense, fan-shaped branching and unique needle texture, providing visual interest throughout the seasons."
snow-in-summer,"This herb typically reaches heights between 0.5 and 1 foot. It thrives in well-drained, rocky, or gravelly soils and is suitable for areas with minimal watering needs. It prefers full sun or part shade and requires moderate maintenance. The plant does not produce seeds."
St. John's bread,"This tree typically reaches heights between 30 and 50 feet and requires minimal watering. It has distinctive lime-green leaves with yellow veins and features light-brown twigs and branches. This species thrives in full sun conditions and is characterized by its low maintenance requirements, producing seeds as part of its reproductive cycle."
field chickweed,"This herbaceous plant typically grows to heights between 0.5 and 1.5 feet and requires minimal watering. It features clusters of small white flowers with yellow centers, surrounded by yellow filaments, yellow anthers, and yellow stamens. The stems can be found in shades of lime-green, lush-green, and yellow-green, while the leaves are green. It thrives in full sunlight and is characterized by its low maintenance needs. The plant produces seeds, contributing to its persistent growth in various environments."
snow-in-summer,"This herb typically reaches heights of 0.5 to 1 foot and thrives in well-drained, dry, rocky, or gravelly soils. It prefers full sun to part shade and requires minimal watering, demonstrating moderate maintenance needs. The plant features white flowers, lush green leaves, and stems that are lime-green to green, while its center, filaments, anthers, and stamens present various shades of yellow and light-yellow. It produces true seeds and exhibits dark-green buds prior to blooming."
ceratostigma,"This broadleaf evergreen typically reaches heights between 2 and 3 feet. It requires average watering and thrives in full sun conditions, making it suitable for various garden setups. With low maintenance needs, it can adapt to different environments while providing year-round foliage. This plant does not produce seeds."
snow-in-summer,"This shrub typically reaches heights between 0.5 and 1 foot and features green leaves. It produces white flowers with a center that exhibits yellow to green hues, accompanied by light-yellow and yellow anthers. The plant thrives in full sun to part shade conditions and requires minimal watering, preferring well-drained, rocky, or gravelly soils with moderate maintenance. It is capable of producing seeds."
plumbago,This shrub typically grows to a height of 0.75 to 1 foot and can thrive in both full sun and partial shade. It requires average watering and is characterized by its low maintenance needs. The plant does not produce seeds and is suitable for various soil types.
katsura tree,"This tree typically grows to a height ranging from 40 to 60 feet. It features leaves and midribs that are pink-green in color, with light-green veins and pink petioles. The species thrives in full sun to part shade and requires average watering, while maintaining low overall maintenance. This tree does not produce seeds and is adaptable to various soil types."
eastern redbud,"This tree grows to a uniform height of approximately 30 feet and prefers average watering conditions. It thrives in humus-rich, well-drained soil and can tolerate partial shade as well as full shade, particularly benefiting from deciduous shade during spring. The tree exhibits low maintenance requirements and produces seeds for propagation."
katsura tree,"This tree typically reaches heights between 8 and 15 feet, exhibiting a dense, rounded canopy. Its leaves display a color range including orange-yellow, orange, yellow-orange, and green, while its twigs, branches, and trunk are characterized by a dark brown hue. It prefers full sun to partial shade and requires average watering, making it a low-maintenance choice for landscapes. Additionally, it produces small flowers in light yellow and light pink colors but does not produce seeds."
eastern redbud,"This is a medium-sized tree that typically reaches a height of 30 feet. It grows well in humus-rich, well-drained soil and requires average watering. The tree thrives in partial shade and shade conditions, particularly benefiting from deciduous shade in spring. It features a low maintenance profile and produces true seeds."
eastern redbud,"This tree typically reaches a height of 30 feet and features light-green leaves with green veins. It thrives in humus-rich, well-drained soil and prefers conditions of partial shade or full shade, adapting well to deciduous shade in spring. The branches and twigs are dark brown, and the species exhibits low maintenance needs while producing seeds. Watering requirements are average."
eastern redbud,"This tree typically reaches a height of 30 feet and features a low maintenance requirement. It produces flowers in shades of purple-pink, pink-purple, and purple-white, while its leaves are primarily green with yellow variations. It thrives in humus-rich, well-drained soil and prefers partial shade or deciduous shade during spring. The stems and branches have a brown to dark-brown coloration, with twigs appearing brown and petioles light-pink."
eastern redbud,"This tree typically reaches a height of 30 feet and thrives in a range of lighting conditions including partial shade and shade, as well as during spring when exposed to sunlight. It requires average watering and prefers soil that is humus rich and well-drained. The tree has low maintenance needs and produces true seeds."
eastern redbud,"This tree typically reaches a height of 30 feet and prefers a growth environment that includes partial shade, shade, or deciduous shade during the spring. It requires average watering and thrives in humus-rich, well-drained soil. The tree produces true seeds and is characterized by low maintenance needs."
eastern redbud,"This small tree typically reaches a height of 30 feet and is characterized by its deciduous nature, providing shade in the spring while adapting to various light conditions, including partial shade and full shade. It prefers well-drained, humus-rich soil and requires average watering, making it relatively low-maintenance. The tree produces seeds and is known for its aesthetic appeal, particularly during the blooming season."
Texas redbud,"This tree typically reaches a height of 30 feet and features a dense crown. It produces pink-purple flowers in clusters during early spring, which precede the emergence of its leaves. The tree thrives in well-drained, humus-rich soil and performs well in partial shade to full shade environments. It has low maintenance requirements and tolerates average watering conditions."
eastern redbud,"This tree typically reaches a height of 30 feet and features a canopy that spreads both upward and outward. It produces flowers in shades of pink and purple-white during the early spring, while its heart-shaped leaves exhibit a yellow-green color. The tree thrives in well-drained, humus-rich soil and prefers partial shade to full shade conditions. It requires average watering and is characterized by low maintenance needs, making it suitable for diverse garden settings."
eastern redbud,"This tree typically grows to a height of 30 feet, making it suitable for smaller landscapes. It requires average watering and thrives in well-drained, humus-rich soil with conditions ranging from partial shade to full shade, including deciduous shade in spring. The tree is characterized by its low maintenance requirements and produces true seeds."
redbud,"This tree typically reaches heights between 12 and 15 feet and is characterized by its ability to thrive in full sun to part shade conditions. It requires average watering and is noted for its low maintenance needs. The tree does not produce seeds, making it a suitable option for certain landscaping scenarios."
Texas redbud,"This tree typically reaches a height of 30 feet and thrives in average watering conditions. It prefers environments with partial shade, shade, or deciduous shade during spring. The tree grows best in humus-rich, well-drained soil and requires low maintenance. It produces true seeds as part of its reproductive cycle."
Chinese redbud,"This deciduous tree typically reaches a height between 8 to 15 feet. It thrives in both full sun and partial shade, requiring average watering to maintain health. The buds and flowers exhibit a pink-purple hue, while the petioles are characterized by an orange-pink color. The trunk and branches display dark-brown and gray-brown tones, and the twigs are also dark-brown, indicating moderate maintenance needs throughout its growing season."
mountain mahogany,"This broadleaf evergreen typically reaches heights between 8 and 12 feet. It requires minimal watering and thrives in full sun conditions, making it suitable for arid environments. The plant exhibits low maintenance needs and produces true seeds, allowing for natural propagation. Its adaptability to dry climates contributes to its resilience and long lifespan."
Chinese redbud,"This tree typically reaches heights between 10 to 12 feet and features light-brown trunks and branches, along with brown twigs. Its foliage consists of yellow-green leaves, while the flowers exhibit shades of pink-purple and purple-pink. It thrives in full sun to part shade conditions, requires average watering, and exhibits low maintenance needs. It does not produce seeds and can adapt to various soil types."
Judas tree,"This tree typically reaches heights between 15 to 25 feet and is characterized by its dark-brown branches and twigs. The foliage consists of lime-green to orange-green leaves, while pink or pink-purple flowers emerge in the spring, accompanied by pink petioles. It thrives in full sun to partial shade, requires average watering, and is considered low maintenance, producing seeds that contribute to its reproduction."
